  time    PosLHipYaw    VelLHipYaw    ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee     ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee      ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  ------------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------
  0      9.01446e-05   0                             0                0                            -0.00118489     0                           -1.14595e-05   0                             -0.000368504       0                                 -1.43191e-08      0                             -5.28712e-09   0                            -0.000157878      0                             0.000383347     0                          -2.15368e-08   0                              -0.00041347        0                                 -1.43191e-08      0
  0.05   3.07201e-05  -0.000715358   0.0120699       8.10772e-05      0.00649626      0.00365831   -0.000652091    0.00574618      0.0682992   -3.98047e-06   9.49019e-05    0.0759511      -0.000122894       0.00298582          0.117368       1.00802e-05      5.47152e-05     -0.00402989   -3.52823e-08   9.49309e-07   -0.0226318     -0.000237077      0.00290228      -0.0516921    0.0011474       0.0250019      -0.64944    -6.63567e-09   3.84171e-07    0.0365815       -0.00011374        0.00381046          0.101985       1.00802e-05      5.47152e-05     -0.00402989
  0.1    9.53301e-06  -0.000255349   0.000435305     0.000554283      0.0108463       0.136746     -0.000507965    0.00126391     -0.0160319   -1.24425e-06   3.11062e-05    0.137827       -3.28235e-05       0.00112168          0.13713        9.83372e-06     -5.39001e-05     -0.0083456    -9.02514e-09   5.58793e-07   -0.00722465     5.75392e-05      0.00733323       0.104064     0.00287486      0.0410834      -0.453117   -3.4197e-09   -8.76025e-07    0.10923          9.97004e-06       0.00170404          0.125578       9.83372e-06     -5.39001e-05     -0.0083456
  0.15   1.99335e-06  -9.05225e-05   0.00446068      0.00108527       0.00983017      0.252492     -0.000489874   -0.000100199    -0.0826248   -2.4261e-07    1.4063e-05     0.190904        1.34669e-06       0.000422448         0.152341       6.80704e-06     -6.76138e-05     -0.011301     -2.41585e-09  -1.86265e-07   -0.00876352     0.000422393      0.00672481       0.237993     0.00514934      0.0475823      -0.213259   -1.38534e-08  -1.35624e-06    0.17059          7.08983e-05       0.000927972         0.143347       6.80704e-06     -6.76138e-05     -0.011301
  0.2   -6.69239e-07  -3.18504e-05   0.0046178       0.00147569       0.00587421      0.323495     -0.000502297   -0.000262074    -0.126927     9.40636e-08   5.12228e-06    0.22368         1.44728e-05       0.000166148         0.161976       3.46103e-06     -6.30039e-05     -0.0133816     2.33069e-09   0             -0.0050995      0.000679116      0.0036188        0.3112       0.00747794      0.0443908       0.0178372  -1.39698e-09   1.88593e-06    0.204313         0.000105494       0.000533461         0.153454       3.46103e-06     -6.30039e-05     -0.0133816
  0.25  -1.59607e-06  -8.58557e-06  -0.126591       -0.126938        -3.54191        29.8808       -0.000609105    0.0390156       0.0215518    0.314159      6.28319        9.87049        -0.280854         -3.97123             3.50303       -0.000223213      0.0217513       -0.00242329   -4.46437e-09   6.35601e-07    0.313818      -0.139595        -4.52261         29.7658       0.0116015       0.277389       -0.180678    0.314159      6.28319        9.79971         -0.280571         -3.97675             3.494         -0.000223213      0.0217513       -0.00242329
  0.3   -1.8796e-06   -3.09547e-06   0.380203       -0.322513        -4.02679        11.843        -0.000282572   -0.0152797      -0.0431565    0.628319      6.28323        1.56207        -0.399534         -1.45435             0.982803       0.000130729     -0.00293055      -0.0329285     2.29306e-10   9.00173e-08   -0.249494      -0.332586        -3.40379         13.6975       0.013482       -0.0946426      -0.2987      0.628318      6.28317        2.3572          -0.399287         -1.45432             1.2238         0.000130729     -0.00293055      -0.0329285
  0.35  -1.95846e-06  -6.40967e-07  -0.133932       -0.464103        -1.86643       -13.7468       -0.000984924   -0.00919581     -0.269642     0.832049      2.44941       -5.93474        -0.442916         -0.523514           -0.970132      -0.000186585     -0.00443685      -0.00670373   -1.30456e-09   2.22045e-14    0.0906786     -0.453912        -1.64868        -14.4375       0.00986946     -0.0561879       0.818218    0.832048      2.44935       -6.27831         -0.442799         -0.527007           -1.06928       -0.000186585     -0.00443685      -0.00670373
  0.4   -1.94719e-06   9.29595e-07  -0.129083       -0.516212        -0.472379      -15.4291       -0.00118194     6.00005e-05    -0.161056     0.904312      0.86403       -8.59523        -0.458283         -0.180757           -2.00911       -0.000278224      7.22532e-05     -0.0078713     3.08205e-09  -1.8008e-08     0.0486384     -0.501284        -0.455064       -18.0671       0.00768378     -0.0347231       0.84613     0.904311      0.864006      -9.778           -0.458291         -0.182146           -2.4143        -0.000278224      7.22532e-05     -0.0078713
  0.45  -1.91734e-06   8.62566e-07  -0.084055       -0.515741         0.324393      -10.1501       -0.000987928    0.00644718     -0.0447027    0.929561      0.297201      -7.72062        -0.463304         -0.0533701          -1.61747       -0.0001896        0.00288163      -0.00566455   -5.532e-10     0              0.0103717     -0.502921         0.243438       -11.6414       0.00630133     -0.0235955       0.400043    0.92956       0.297177      -8.40747         -0.463315         -0.0524521          -1.85644       -0.0001896        0.00288163      -0.00566455
  0.5   -1.87864e-06   9.14384e-07  -0.0138383      -0.489093         0.638724       -1.99688      -0.000582797    0.00884543      0.00814383   0.938007      0.0947953     -4.79928        -0.464507         -0.00731946         -0.552996      -1.02262e-05      0.00387975      -0.00649981   -8.2332e-10   -1.8008e-08    -0.0350682     -0.481801         0.509733        -1.35362      0.00520964     -0.0210549      -0.133814    0.938007      0.0947476     -4.56038         -0.464444         -0.00569225         -0.469674      -1.02262e-05      0.00387975      -0.00649981
  0.55  -1.83054e-06   1.18917e-06   0.0455326      -0.457341         0.58865         5.23927      -0.000161065    0.00765287      0.0164871    0.940457      0.0226021     -1.83983        -0.464409          0.00661612          0.473667       0.00017211       0.00325065      -0.00834033    6.79279e-10   1.68257e-07   -0.0797884     -0.456988         0.446725         7.33752      0.00421872     -0.0181064      -0.554389    0.940457      0.022614      -0.932866        -0.464283          0.00743867          0.780766       0.00017211       0.00325065      -0.00834033
  0.6   -1.7854e-06    9.77753e-07   0.00080035     -0.547185        -2.59037        30            -0.00109397     0.00602236      0.213584     1.24329       6.28317       -2.39866        -0.721499         -3.34626             3.04019       -8.72701e-05     -0.00915891      -0.00767507   -4.85568e-09  -1.79307e-07   -0.0271207     -0.539359        -2.54479         30            0.000963216    -0.0266069      -1.61089     1.24343       6.28317       -2.49349         -0.721191         -3.3517              3.03423       -8.72701e-05     -0.00915891      -0.00767507
  0.65  -1.73205e-06   9.23274e-07   0.276367       -0.715044        -3.2582         17.9386       -0.000332257    0.00808995     -0.359807     1.54579       4.94764        2.11918        -0.820322         -1.19588             2.28893        8.02023e-05     -0.00512038      -0.0547427    -4.2437e-09   -7.82621e-08   -0.254824      -0.723105        -3.06822         19.8308       0.0056702       0.0124984      -0.347587    1.54589       4.94516        2.94801         -0.81997          -1.19755             2.60679        8.02023e-05     -0.00512038      -0.0547427
  0.7   -1.69075e-06   1.22186e-06  -0.135239       -0.835772        -1.80153        -2.27072      -0.000366743   -0.00513047     -0.512646     1.69189       1.74918        1.2072         -0.856043         -0.433898            0.240315      -0.000113212     -0.00293205      -0.0344997    -1.24214e-09  -3.36536e-07    0.181198      -0.835043        -1.67123         -1.64398      0.00355989     -0.0613862       0.407549    1.69192       1.74835        1.34976         -0.855898         -0.439048            0.356063      -0.000113212     -0.00293205      -0.0344997
  0.75  -1.65041e-06   6.21959e-07  -0.0697408      -0.893152        -0.652099       -7.8594       -0.000563137   -0.00166507      0.0903764    1.74313       0.605536      -6.39337        -0.868812         -0.14981            -1.65684       -0.000175101      0.000212805      0.0161983     2.29306e-10   1.8008e-08     0.0179823     -0.889492        -0.644732       -10.1509       0.00144308     -0.0205579       0.0548313   1.74313       0.60525       -7.40552         -0.868884         -0.152934           -2.09366       -0.000175101      0.000212805      0.0161983
  0.8   -1.61244e-06   6.29848e-07   0.0374478      -0.902378         0.128925       -5.02989      -0.000488265    0.00364278      0.350171     1.76046       0.196982      -7.41401        -0.8729           -0.0416756          -1.5106        -9.37812e-05      0.00249599       0.0340952    -6.86123e-09  -1.86265e-07   -0.0221579     -0.900228         0.076902        -7.04954      0.00165635      0.0204775      -0.026885    1.76046       0.196815      -8.22335         -0.873016         -0.0408292          -1.90077       -9.37812e-05      0.00249599       0.0340952
