  time    PosLHipYaw    VelLHipYaw     ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee      ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee     ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
------  ------------  ------------  -------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  ------------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------
  0      9.01446e-05   0                              0               0                             -0.00118489     0                           -1.14595e-05   0                              -0.000368504       0                                 -1.43191e-08      0                             -5.28712e-09   0                            -0.000157878     0                              0.000383347    0                           -2.15368e-08   0                             -0.00041347        0                                 -1.43191e-08      0
  0.05   3.07201e-05  -0.000715358    0.0120699       8.10772e-05     0.00649626       0.00365831   -0.000652091    0.00574618      0.0682992   -3.98047e-06   9.49019e-05    0.0759511       -0.000122894       0.00298582          0.117368       1.00802e-05      5.47152e-05     -0.00402989   -3.52823e-08   9.49309e-07  -0.0226318      -0.000237077     0.00290228       -0.0516921    0.0011474      0.0250019       -0.64944    -6.63567e-09   3.84171e-07    0.0365815      -0.00011374        0.00381046         0.101985        1.00802e-05      5.47152e-05     -0.00402989
  0.1    9.53301e-06  -0.000255349    0.000435305     0.000554283     0.0108463        0.136746     -0.000507965    0.00126391     -0.0160319   -1.24425e-06   3.11062e-05    0.137827        -3.28235e-05       0.00112168          0.13713        9.83372e-06     -5.39001e-05     -0.0083456    -9.02514e-09   5.58793e-07  -0.00722465      5.75392e-05     0.00733323        0.104064     0.00287486     0.0410834       -0.453117   -3.4197e-09   -8.76025e-07    0.10923         9.97004e-06       0.00170404         0.125578        9.83372e-06     -5.39001e-05     -0.0083456
  0.15   1.99335e-06  -9.05225e-05    0.00446068      0.00108527      0.00983017       0.252492     -0.000489874   -0.000100199    -0.0826248   -2.4261e-07    1.4063e-05     0.190904         1.34669e-06       0.000422448         0.152341       6.80704e-06     -6.76138e-05     -0.011301     -2.41585e-09  -1.86265e-07  -0.00876352      0.000422393     0.00672481        0.237993     0.00514934     0.0475823       -0.213259   -1.38534e-08  -1.35624e-06    0.17059         7.08983e-05       0.000927972        0.143347        6.80704e-06     -6.76138e-05     -0.011301
  0.2   -6.69239e-07  -3.18504e-05    0.0046178       0.00147569      0.00587421       0.323495     -0.000502297   -0.000262074    -0.126927     9.40636e-08   5.12228e-06    0.22368          1.44728e-05       0.000166148         0.161976       3.46103e-06     -6.30039e-05     -0.0133816     2.33069e-09   0            -0.0050995       0.000679116     0.0036188         0.3112       0.00747794     0.0443908        0.0178372  -1.39698e-09   1.88593e-06    0.204313        0.000105494       0.000533461        0.153454        3.46103e-06     -6.30039e-05     -0.0133816
  0.25  -1.5847e-06   -1.06168e-05    0.00449857      0.00163648      0.001054         0.341547     -0.000507976    4.56348e-05    -0.143887     2.25846e-07  -5.58794e-07    0.232133         1.87662e-05       3.05478e-05         0.164478       1.48988e-06     -2.77068e-05     -0.0141947     5.2147e-09    1.86265e-07  -0.00177983      0.000759269     4.70318e-06       0.317158     0.00942042     0.0333365        0.202203    1.74623e-09   1.62982e-07    0.207082        0.000124923       0.00028424         0.15439         1.48988e-06     -2.77068e-05     -0.0141947
  0.3   -1.88086e-06  -3.1668e-06     0.0045082       0.00157325     -0.0029424        0.31592      -0.000494526    0.000450935    -0.134118     2.44007e-07  -2.8871e-06     0.220449         1.9135e-05       -8.94107e-06         0.161011       1.14227e-06      5.72764e-06     -0.0137412     6.14602e-09   1.86265e-07   0.000186913     0.000680101    -0.00266875        0.273217     0.0106619      0.0173852        0.313805   -5.52973e-09  -5.82077e-08    0.186858        0.000132684       6.31408e-05        0.148429        1.14227e-06      5.72764e-06     -0.0137412
  0.35  -1.95353e-06  -5.59613e-07    0.00470903      0.00135725     -0.00514309       0.266351     -0.000462511    0.000770577    -0.104822     2.50991e-07  -1.02446e-06    0.197665         1.8023e-05       -2.71946e-05         0.154236       2.43867e-06      3.48782e-05     -0.0123646     5.2147e-09    0             0.000576678     0.000510583    -0.00372661        0.208849     0.0110513     -2.79397e-05      0.342323   -2.02272e-08  -4.71483e-07    0.157194        0.000131425      -9.0155e-05         0.139584        2.43867e-06      3.48782e-05     -0.0123646
  0.4   -1.94799e-06   3.7162e-07     0.00506507      0.00108625     -0.00537267       0.214315     -0.000419768    0.000892959    -0.0674266    2.61702e-07   2.23518e-06    0.17366          1.67005e-05      -2.01162e-05         0.147083       4.74276e-06      4.78702e-05     -0.0105933     6.14602e-09   1.86265e-07  -0.000359207     0.000331977    -0.00325181        0.152239     0.0106068     -0.0156647        0.293396   -1.44792e-08  -1.71131e-06    0.131084        0.000123487      -0.000209175        0.131733        4.74276e-06      4.78702e-05     -0.0105933
  0.45  -1.91172e-06   7.43967e-07    0.00544005      0.000848273    -0.00408577       0.17611      -0.000376754    0.00080588     -0.0338804    2.36556e-07   2.98023e-06    0.155962         1.58083e-05      -1.2666e-05          0.141792       7.27281e-06      4.78467e-05     -0.00900036    4.28338e-09  -1.86265e-07  -0.00222202      0.000205881    -0.00184109        0.120884     0.00949013    -0.0270063        0.185666   -6.67205e-09   2.47674e-06    0.116601        0.000111942      -0.000241304        0.127307        7.27281e-06      4.78467e-05     -0.00900036
  0.5   -1.87079e-06   7.44377e-07    0.00574908      0.000698199    -0.00206675       0.159414     -0.000342867    0.000556838    -0.013244     2.35625e-07   1.86265e-07    0.14815          1.54339e-05       1.11759e-06         0.139443       9.15199e-06      2.67517e-05     -0.00801148    3.35206e-09   0            -0.00455663      0.000158319    -0.000247828       0.118537     0.00796022    -0.0326269        0.04601     8.63656e-09   2.91766e-06    0.115492        9.90513e-05      -0.000250248        0.126852        9.15199e-06      2.67517e-05     -0.00801148
  0.55  -1.82424e-06   7.44809e-07    0.00587334      0.000650525    -0.000100397      0.163394     -0.000323764    0.000238419    -0.00956521   2.17464e-07  -2.51457e-06    0.149874         1.54693e-05       5.21578e-06         0.139931       9.87307e-06     -1.16379e-06     -0.00782244    3.26202e-09   1.68257e-07  -0.00694556      0.000180706     0.000922848       0.137786     0.00631539    -0.0322559       -0.0963367   9.7134e-09   -5.28235e-07    0.124352        8.67471e-05      -0.000227895        0.129377        9.87307e-06     -1.16379e-06     -0.00782244
  0.6   -1.77952e-06   9.31755e-07    0.00579175      0.000685982     0.00125347       0.181312     -0.000320138   -5.21658e-05    -0.0214417    2.37487e-07   4.65659e-07    0.158056         1.546e-05         7.44695e-07         0.142352       9.33639e-06     -1.84639e-05     -0.00837369    4.68049e-10   1.86265e-07  -0.0090031       0.00024258      0.00138372        0.165791     0.00483647    -0.02672         -0.215253    7.63612e-09  -6.36647e-07    0.137272        7.65789e-05      -0.000174716        0.133137        9.33639e-06     -1.84639e-05     -0.00837369
  0.65  -1.75381e-06  -1.02446e-06   -0.0735423      -0.122487       -2.83713         30            -0.000737456    0.00121789      0.132723     0.31416       6.2832        10.7592          -0.313523         -6.27988             4.45358       -0.000460668     -0.0201505        0.00446304   -8.30005e-09  -4.37558e-07   0.183802       -0.129356       -2.62073          29.9741       0.004843      -0.0697487       -0.697511    0.314159      6.2832        10.7509         -0.31343          -6.27632            4.46356        -0.000460668     -0.0201505        0.00446304
  0.7   -1.69115e-06   1.14678e-06    0.228196       -0.303542       -3.96658         27.4676        0.000292569    0.0094982       0.0344846    0.628319      6.28318        9.48481         -0.625848         -6.24693             4.49891        0.000233581      0.00960447      -0.00947809    3.30147e-10   1.13528e-07  -0.0593079      -0.328836       -4.48051          29.4571       0.00905852     0.108269        -0.915854    0.628319      6.28319       10.3374         -0.625737         -6.23904            4.77267         0.000233581      0.00960447      -0.00947809
  0.75  -1.6491e-06    1.03557e-06    0.109476       -0.525604       -4.9465          19.5469        0.000288658   -0.00666511     -0.167778     0.942479      6.28318        2.77432         -0.908068         -4.05819             2.93562        0.0004695        0.00137249      -0.0148601    -6.89249e-09  -4.68777e-07  -0.20486        -0.563731       -5.06516          25.9136       0.0113533      0.00643675      -1.00773     0.942478      6.28319        5.35158        -0.907646         -4.05709            3.87207         0.0004695        0.00137249      -0.0148601
