  time    PosLHipYaw    VelLHipYaw    ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee     ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee     ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------
  0      9.01446e-05   0                             0                0                            -0.00118489     0                           -1.14595e-05   0                             -0.000368504       0                                 -1.43191e-08      0                             -5.28712e-09   0                            -0.000157878      0                             0.000383347     0                          -2.15368e-08   0                             -0.00041347        0                                 -1.43191e-08      0
  0.05   3.07201e-05  -0.000715358   0.0120699       8.10772e-05      0.00649626      0.00365831   -0.000652091    0.00574618       0.0682992  -3.98047e-06   9.49019e-05    0.0759511      -0.000122894       0.00298582           0.117368      1.00802e-05      5.47152e-05     -0.00402989   -3.52823e-08   9.49309e-07   -0.0226318     -0.000237077      0.00290228      -0.0516921    0.0011474       0.0250019      -0.64944    -6.63567e-09   3.84171e-07    0.0365815      -0.00011374        0.00381046          0.101985       1.00802e-05      5.47152e-05     -0.00402989
  0.1    9.53301e-06  -0.000255349   0.000435305     0.000554283      0.0108463       0.136746     -0.000507965    0.00126391      -0.0160319  -1.24425e-06   3.11062e-05    0.137827       -3.28235e-05       0.00112168           0.13713       9.83372e-06     -5.39001e-05     -0.0083456    -9.02514e-09   5.58793e-07   -0.00722465     5.75392e-05      0.00733323       0.104064     0.00287486      0.0410834      -0.453117   -3.4197e-09   -8.76025e-07    0.10923         9.97004e-06       0.00170404          0.125578       9.83372e-06     -5.39001e-05     -0.0083456
  0.15   1.99335e-06  -9.05225e-05   0.00446068      0.00108527       0.00983017      0.252492     -0.000489874   -0.000100199     -0.0826248  -2.4261e-07    1.4063e-05     0.190904        1.34669e-06       0.000422448          0.152341      6.80704e-06     -6.76138e-05     -0.011301     -2.41585e-09  -1.86265e-07   -0.00876352     0.000422393      0.00672481       0.237993     0.00514934      0.0475823      -0.213259   -1.38534e-08  -1.35624e-06    0.17059         7.08983e-05       0.000927972         0.143347       6.80704e-06     -6.76138e-05     -0.011301
  0.2   -6.69239e-07  -3.18504e-05   0.0046178       0.00147569       0.00587421      0.323495     -0.000502297   -0.000262074     -0.126927    9.40636e-08   5.12228e-06    0.22368         1.44728e-05       0.000166148          0.161976      3.46103e-06     -6.30039e-05     -0.0133816     2.33069e-09   0             -0.0050995      0.000679116      0.0036188        0.3112       0.00747794      0.0443908       0.0178372  -1.39698e-09   1.88593e-06    0.204313        0.000105494       0.000533461         0.153454       3.46103e-06     -6.30039e-05     -0.0133816
  0.25  -1.60518e-06  -1.19723e-05  -0.0945998      -0.121514        -2.83443        30            -0.000923605    0.00140367       0.0298714   0.314159      6.28319       10.7606         -0.31353          -6.27993              4.45424      -0.000466623     -0.0201392       -0.000539922  -5.53734e-09  -6.05838e-07    0.296784      -0.128699        -2.6185          29.9784       0.0106221      -0.0164334      -0.180193    0.314159      6.28319       10.7541         -0.313354         -6.27548             4.46466       -0.000466623     -0.0201392       -0.000539922
  0.3   -1.88242e-06  -3.56565e-06   0.207          -0.302394        -3.96417        27.4934        0.000137232    0.0103442       -0.0324526   0.628319      6.28321        9.49827        -0.625858         -6.247                4.50263       0.000226547      0.00968213      -0.0126886     5.22562e-09   9.55425e-08    0.167117      -0.328322        -4.47513         29.4708       0.0169174       0.137805       -0.226438    0.628319      6.28318       10.3446         -0.625461         -6.23779             4.77392        0.000226547      0.00968213      -0.0126886
  0.35  -1.95492e-06  -4.16003e-07   0.104321       -0.525821        -4.9849         19.2541        0.000177904   -0.00606758      -0.182873    0.942478      6.28323        2.56323        -0.895875         -3.68166              2.71795       0.000464765      0.00131624      -0.0157443     2.96086e-09  -3.18505e-07    0.0842452     -0.564112        -5.09861         25.679        0.0195897      -0.00133701     -0.318066    0.942478      6.28318        5.16289        -0.895285         -3.68334             3.66501        0.000464765      0.00131624      -0.0157443
  0.4   -1.94932e-06   4.10001e-07  -0.0311113      -0.797584        -5.72507         9.46533      -0.000305465   -0.0107354       -0.152009    1.25664       6.28319       -4.49214        -1.00499          -1.31356              1.48968       0.000430793     -0.00178422      -0.017087     -1.09696e-09  -1.68279e-07   -0.0510098     -0.84127         -5.58036         11.1472       0.0180726      -0.0977975      -0.220207    1.25664       6.28317       -4.40749        -1.00466          -1.32909             1.84896        0.000430793     -0.00178422      -0.017087
  0.45   0.00520835    0.676515      0.325517       -1.06607         -4.32318       -17.3815       -0.00220443     0.164963        -0.035053    1.56806       5.77891      -18.6194         -1.04422          -0.340462            -3.60094      -7.59333e-05     -0.0255545        0.0150038    -0.015052     -0.67283       -2.04268       -1.06841         -3.44634        -20.7276       0.0184023       0.12967        -2.62997     1.55997       5.56586      -22.8259         -1.04411          -0.450898           -5.64109       -7.59333e-05     -0.0255545        0.0150038
  0.5    0.0127878    -0.201118     19.1962         -1.04827          2.23503       -30            -0.153005      -3.74477         29.0574      1.35673      -6.31087        5.80003        -0.732466          6.31744             -6.59997       0.295941         4.57887          1.38575      -0.0196949     0.289359      13.776         -1.06324          2.22016        -30           -0.0391293      -1.89808        19.3025      1.34576      -6.35946        3.11198        -0.73397           6.2951             -7.32821        0.295941         4.57887          1.38575
  0.55   0.00414128   -0.104167     16.2204         -0.874188         4.40599       -25.2553       -0.324858      -3.53228         28.8825      1.04259      -6.28276      -15.5783         -0.495465          2.95165             -2.72275       0.430283         1.62227          1.70614      -0.00633089    0.161048      11.1215        -0.894597         4.30962        -29.5321      -0.13496        -2.13846        19.2841      1.11584      -2.83094      -25.9095         -0.496553          2.94335            -5.32294        0.430283         1.62227          1.70614
  0.6    0.00105806   -0.0370554    10.1684         -0.625227         5.00764       -10.9851       -0.433588      -1.42593         20.731       0.740504     -4.93049      -13.5981         -0.408111          1.04132             -1.51848       0.477304         0.542647         0.174636     -0.00156558    0.0572503     10.7213        -0.679315         4.48431        -28.6269      -0.247536       -2.30992        17.9667      1.0307       -1.0493       -23.7001         -0.409229          1.05301            -5.03615        0.477304         0.542647         0.174636
  0.65  -3.43698e-05  -0.0130453    -5.31472        -0.345832         5.79919        -8.51221      -0.392422      -0.836749       -28.6515      0.426289     -6.28318      -10.0759         -0.154828          3.29419             -2.14464       0.190718        -4.14853         -1.30002       0.000121402   0.0201296     -5.26454       -0.382455         6.36983         -6.17676     -0.273543       -0.226027      -25.1254      0.719029     -6.28347       -5.93465        -0.155711          3.29352            -1.1617         0.190718        -4.14853         -1.30002
  0.7   -0.000414738  -0.00446046   -4.3729         -0.08654          4.49355         4.47948      -0.362129       5.64421        -29.9833      0.191513     -2.92722       -3.30683        -0.0564113         1.17524             -0.151357      0.0670436       -1.53721         -2.16327       0.00070762    0.00685991    -3.19476       -0.0630672        6.86448         15.0793      -0.260176        0.559044      -23.892       0.404868     -6.28322        0.345423       -0.057138          1.20007             1.7041         0.0670436       -1.53721         -2.16327
  0.75  -0.000540628  -0.00139423   -8.48672         0.081483         2.60287        26.6146       -0.309459      -0.270713       -29.8176      0.104093     -1.06573       10.4033         -0.0204438         0.426727             3.31408       0.0225592       -0.574844        -1.70716       0.000900537   0.00212224    -3.46931        0.185901         3.52319         30           -0.204874        1.43922       -17.6325      0.186846     -2.66616        8.49642        -0.0214421         0.434203            2.67096        0.0225592       -0.574844        -1.70716
  0.8   -0.000575738  -0.000302703  -4.68278         0.176421         1.14698        30            -0.118263       2.42145        -26.4866      0.0719162    -0.398997      12.9249         -0.00869563        0.149199             4.0381        0.00536866      -0.194371        -1.37832       0.000953166   0.000435429   -2.20204        0.300567         1.41155         30           -0.119985        1.84672        -8.32096     0.107107     -0.974392      11.9991         -0.00830532        0.163896            3.62339        0.00536866      -0.194371        -1.37832
  0.85  -0.00057863    8.25153e-05  -3.00558         0.0790627       -2.71228        30            -0.0362928      1.20915         -8.603       0.386079      6.28313        8.62425        -0.270845         -3.45229              3.32325       0.000777006     -0.0405968       -0.461414      0.000956011  -0.000160281   -2.23576        0.208835        -2.59331         30           -0.0260796       1.89136         0.54388     0.421259      6.28309        8.34407        -0.270223         -3.46153             3.03074        0.000777006     -0.0405968       -0.461414
