  time    PosLHipYaw    VelLHipYaw     ForLHipYaw    PosLHipPitch    VelLHipPitch    ForLHipPitch    PosLHipRoll    VelLHipRoll    ForLHipRoll      PosLKnee      VelLKnee     ForLKnee    PosLAnklePitch    VelLAnklePitch    ForLAnklePitch    PosLAnkleRoll    VelLAnkleRoll    ForLAnkleRoll    PosRHipYaw    VelRHipYaw    ForRHipYaw    PosRHipPitch    VelRHipPitch    ForRHipPitch    PosRHipRoll    VelRHipRoll    ForRHipRoll      PosRKnee      VelRKnee     ForRKnee    PosRAnklePitch    VelRAnklePitch    ForRAnklePitch    PosRAnkleRoll    VelRAnkleRoll    ForRAnkleRoll
------  ------------  ------------  -------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------  ------------  ------------  ------------  --------------  --------------  --------------  -------------  -------------  -------------  ------------  ------------  -----------  ----------------  ----------------  ----------------  ---------------  ---------------  ---------------
  0      9.01446e-05   0                              0                0                            -0.00118489     0                           -1.14595e-05   0                             -0.000368504       0                                 -1.43191e-08      0                             -5.28712e-09   0                            -0.000157878     0                              0.000383347     0                          -2.15368e-08   0                             -0.00041347        0                                 -1.43191e-08      0
  0.05   3.07201e-05  -0.000715358    0.0120699       8.10772e-05      0.00649626      0.00365831   -0.000652091    0.00574618      0.0682992   -3.98047e-06   9.49019e-05    0.0759511      -0.000122894       0.00298582           0.117368      1.00802e-05      5.47152e-05     -0.00402989   -3.52823e-08   9.49309e-07   -0.0226318     -0.000237077     0.00290228       -0.0516921    0.0011474       0.0250019      -0.64944    -6.63567e-09   3.84171e-07    0.0365815      -0.00011374        0.00381046          0.101985       1.00802e-05      5.47152e-05     -0.00402989
  0.1    9.53301e-06  -0.000255349    0.000435305     0.000554283      0.0108463       0.136746     -0.000507965    0.00126391     -0.0160319   -1.24425e-06   3.11062e-05    0.137827       -3.28235e-05       0.00112168           0.13713       9.83372e-06     -5.39001e-05     -0.0083456    -9.02514e-09   5.58793e-07   -0.00722465     5.75392e-05     0.00733323        0.104064     0.00287486      0.0410834      -0.453117   -3.4197e-09   -8.76025e-07    0.10923         9.97004e-06       0.00170404          0.125578       9.83372e-06     -5.39001e-05     -0.0083456
  0.15   1.99335e-06  -9.05225e-05    0.00446068      0.00108527       0.00983017      0.252492     -0.000489874   -0.000100199    -0.0826248   -2.4261e-07    1.4063e-05     0.190904        1.34669e-06       0.000422448          0.152341      6.80704e-06     -6.76138e-05     -0.011301     -2.41585e-09  -1.86265e-07   -0.00876352     0.000422393     0.00672481        0.237993     0.00514934      0.0475823      -0.213259   -1.38534e-08  -1.35624e-06    0.17059         7.08983e-05       0.000927972         0.143347       6.80704e-06     -6.76138e-05     -0.011301
  0.2   -6.69239e-07  -3.18504e-05    0.0046178       0.00147569       0.00587421      0.323495     -0.000502297   -0.000262074    -0.126927     9.40636e-08   5.12228e-06    0.22368         1.44728e-05       0.000166148          0.161976      3.46103e-06     -6.30039e-05     -0.0133816     2.33069e-09   0             -0.0050995      0.000679116     0.0036188         0.3112       0.00747794      0.0443908       0.0178372  -1.39698e-09   1.88593e-06    0.204313        0.000105494       0.000533461         0.153454       3.46103e-06     -6.30039e-05     -0.0133816
  0.25  -1.5847e-06   -1.06168e-05    0.00449857      0.00163648       0.001054        0.341547     -0.000507976    4.56348e-05    -0.143887     2.25846e-07  -5.58794e-07    0.232133        1.87662e-05       3.05478e-05          0.164478      1.48988e-06     -2.77068e-05     -0.0141947     5.2147e-09    1.86265e-07   -0.00177983     0.000759269     4.70318e-06       0.317158     0.00942042      0.0333365       0.202203    1.74623e-09   1.62982e-07    0.207082        0.000124923       0.00028424          0.15439        1.48988e-06     -2.77068e-05     -0.0141947
  0.3   -1.89955e-06  -4.399e-06     -0.0961865      -0.121559        -2.8376         30            -0.000906481    0.00194127      0.039683     0.31416       6.2832        10.7603         -0.313528         -6.28                 4.45422      -0.000470638     -0.0200707       -2.62805e-06  -7.12987e-09  -6.05815e-07    0.34632       -0.128858       -2.6231           29.9742       0.0118946      -0.0319725      -0.0616204   0.314159      6.28318       10.752          -0.313332         -6.27537             4.46406       -0.000470638     -0.0200707       -2.62805e-06
  0.35  -1.95609e-06  -9.12179e-07    0.213419       -0.302686        -3.96788        27.4528        0.000170718    0.0106249      -0.00242719   0.628319      6.28321        9.47853        -0.625856         -6.247                4.49741       0.00022921       0.00970561      -0.0112795    -2.72394e-10  -3.67436e-08    0.1948        -0.328503       -4.48412          29.4573       0.0172994       0.118673       -0.208437    0.628319      6.28318       10.3366         -0.625591         -6.23799             4.7739         0.00022921       0.00970561      -0.0112795
  0.4   -1.9486e-06    6.08271e-07    0.11189        -0.524814        -4.94782        19.5339        0.000224681   -0.00555405     -0.142866     0.942479      6.28315        2.76826        -0.908071         -4.05803              2.93439       0.000471058      0.0014904       -0.0135578    -3.5584e-09    3.6016e-08     0.0869796     -0.563579       -5.06855          25.9133       0.0191553      -0.0181541      -0.388776    0.942478      6.28318        5.34847        -0.907526         -4.05876             3.87514        0.000471058      0.0014904       -0.0135578
  0.45  -1.91635e-06   6.05497e-07   -0.0168932      -0.79596         -5.72557         9.58885      -0.000261794   -0.0110631      -0.128277     1.25664       6.28322       -4.42865        -1.02823          -1.44444              1.45801       0.000438077     -0.00176505      -0.015383     -5.00222e-09   0             -0.046794      -0.8419         -5.84735          12.1075       0.0171865      -0.060463       -0.339095    1.25664       6.28317       -4.02763        -1.02787          -1.45197             1.9428         0.000438077     -0.00176505      -0.015383
  0.5   -1.87069e-06   1.01086e-06   -0.0960016      -0.903925        -1.07588       -30             0.000670576    0.0086912      -0.449294     1.11463      -3.06878       -2.61509        -0.716703          5.8427              -5.5278        0.000325917      0.00575074      -0.0322921     2.05705e-09   3.54521e-07    0.464848      -0.960584       -1.44377         -30            0.0119716      -0.0867917       1.48491     1.11315      -3.03498       -3.1868         -0.716615          5.83746            -5.49878        0.000325917      0.00575074      -0.0322921
  0.55  -1.82513e-06   1.28851e-06    0.0540314      -0.917512         0.393665      -30             0.00118168     0.00853854      0.438207     1.02221      -1.1416       -20.0024         -0.543084          2.09929             -4.01305       0.000465951      0.0016677        0.0175746    -0.00312347   -0.0322759     -0.739696      -0.988072        0.108707        -30            0.0107349       0.00511725     -1.01088     1.02078      -1.1446       -20.9302         -0.54335           2.09507            -4.35165        0.000465951      0.0016677        0.0175746
  0.6   -1.78078e-06   7.46764e-07   -0.0719108      -0.856176         1.90708       -30             0.00129142    -0.00547886      0.229579     0.986988     -0.4511       -18.2764         -0.480647          0.755162            -4.66171       0.000535483      0.00181891       0.00866465   -0.00132337    0.0314418     -0.385337      -0.941205        1.67183         -30            0.00986357     -0.0221679      -0.319797    0.986448     -0.436891     -18.2077         -0.480898          0.755609           -4.7754         0.000535483      0.00181891       0.00866465
  0.65  -1.73313e-06   5.85056e-07   -0.0855082      -0.718828         3.5493        -29.0663       -0.000163665   -0.0406124       0.129868     0.972281     -0.203002     -18.8802         -0.458425          0.255686            -4.73308       0.000405841     -0.0196331        0.0058348    -0.000392095   0.0112055     -0.496608      -0.801854        4.46817         -29.7782       0.00572586     -0.282512       -0.480235    0.972162     -0.197971     -18.8873         -0.45869           0.254154           -4.88593        0.000405841     -0.0196331        0.0058348
  0.7   -1.68949e-06   1.10856e-06   -0.232306       -0.533256         3.64833        -0.994475     -0.000551763    0.0102336      -0.0451125    0.964968     -0.113201      -8.18245        -0.44934           0.13665             -0.713298      0.000235395      0.00509854      -0.0037815    -6.10118e-05   0.00396794     0.00572723    -0.599249        3.65606         -19.0401       0.00426059      0.140911       -0.287149    0.964998     -0.111461     -16.5529         -0.450252          0.132138           -3.45123        0.000235395      0.00509854      -0.0037815
  0.75  -1.65086e-06   7.69979e-07    3.15109        -0.25079          5.13938        -3.46865      -0.106352       0.600473       28.9779       0.711957     -3.63831       -2.58734        -0.398991          0.589055             0.814645      0.295065         4.4343           0.63172       5.5422e-05    0.00138043     4.29285       -0.359834        5.10436         -22.6646      -0.0519588      -1.30284        23.557       0.983434      0.197756     -20.8218         -0.399936          0.617225           -4.23727        0.295065         4.4343           0.63172
  0.8   -1.60791e-06   8.99446e-07   -3.8953         -0.043467         3.20032        15.7038       -0.214121      -5.72325        29.6185       0.602947     -1.33526       -0.304531       -0.379833          0.266344             1.71747       0.428822         1.65791          1.03183       9.51225e-05   0.000454727   -2.23325       -0.11621         4.32467          -0.672125    -0.130351       -1.8535         20.2742      0.988054      0.0316024    -12.0528         -0.380637          0.259811           -0.74272        0.428822         1.65791          1.03183
